,mean,std
adservice-cpu,0.005452035997451216,0.00013505218664003544
cartservice-cpu,0.010123989502574426,0.0002473742008143119
checkoutservice-cpu,0.004666105199076365,0.000108814728346082
currencyservice-cpu,0.05175010344173371,0.010506089602651895
emailservice-cpu,0.004914039756273316,0.000226583528776576
frontend-cpu,0.03667977777206488,0.0013337964560542522
paymentservice-cpu,0.0040943333319869305,8.343956736279947e-05
productcatalogservice-cpu,0.01930832361126423,0.0006747460140953
recommendationservice-cpu,0.01209499555448897,0.00046555751603237006
redis-cart-cpu,0.004397156015883951,9.61345672508868e-05
shippingservice-cpu,0.004325798080970452,7.713821389277249e-05
adservice-mem,3524870.267790899,367977.6771642155
cartservice-mem,3431814.9170031087,177349.03449644396
checkoutservice-mem,1610944.4169055857,151745.91763800778
currencyservice-mem,3185750.1653878954,357926.7720994348
emailservice-mem,1979010.9465030858,179622.97198479815
frontend-mem,2888924.247409565,138669.02376836806
paymentservice-mem,1537841.8785822003,124608.59941996419
productcatalogservice-mem,2411114.5334224263,106822.67347426442
recommendationservice-mem,2490730.908761378,277153.87423338817
redis-cart-mem,1588308.7258564243,82544.40146888552
shippingservice-mem,1337659.8540877076,199904.54354749428
