,0
adservice-cpu,0.005501270066540434
cartservice-cpu,0.010173162060132315
checkoutservice-cpu,0.004709618415097788
currencyservice-cpu,0.05527859382915319
emailservice-cpu,0.004858192998007344
frontend-cpu,0.036985502858179246
paymentservice-cpu,0.004124685555812439
productcatalogservice-cpu,0.01946199236650741
recommendationservice-cpu,0.012235340877213853
redis-cart-cpu,0.004427863028471519
shippingservice-cpu,0.004360689340621834
adservice-mem,3432485.1943023596
cartservice-mem,3280852.8514593127
checkoutservice-mem,1770694.4647757607
currencyservice-mem,3329698.9026217833
emailservice-mem,1937066.352556496
frontend-mem,2978924.1476916163
paymentservice-mem,1403882.853045215
productcatalogservice-mem,2459299.3838670542
recommendationservice-mem,2863364.4043209697
redis-cart-mem,1618011.7637199755
shippingservice-mem,1553344.9022693438
