,0
adservice-cpu,0.0001349379321780407
cartservice-cpu,0.00028920066946678304
checkoutservice-cpu,0.00010960645636515487
currencyservice-cpu,0.00212584495233582
emailservice-cpu,0.00016530808004274204
frontend-cpu,0.0015771845275843802
paymentservice-cpu,8.846740015874173e-05
productcatalogservice-cpu,0.000772125236768856
recommendationservice-cpu,0.00039797604207127314
redis-cart-cpu,0.00011355945828401691
shippingservice-cpu,8.431863827145689e-05
adservice-mem,226889.67197184227
cartservice-mem,147683.4477750517
checkoutservice-mem,108991.23282324178
currencyservice-mem,137012.05041268116
emailservice-mem,141328.6662874512
frontend-mem,116722.8381646428
paymentservice-mem,59027.31403257408
productcatalogservice-mem,96066.8605665381
recommendationservice-mem,141824.26031274622
redis-cart-mem,64592.7820100787
shippingservice-mem,85840.73935027167
